ARCH,NX,GFLOP
MPI_GCC_OMP_,1024,0.660348
Linux_MPI_,256,0.593048
Linux_Serial_,512,0.366766
MPI_GCC_OMP_,16,0.704937
Linux_MPI_,512,0.386546
MPI_GCC_OMP_,128,0.709471
GCC_OMP_,16,0.343121
GCC_OMP_,2048,0.427285
MPI_GCC_OMP_,512,0.71079
Linux_Serial_,256,0.355607
MPI_GCC_OMP_,64,0.736484
Linux_Serial_,128,0.362487
Linux_Serial_,1024,0.2568
GCC_OMP_,128,0.202889
GCC_OMP_,1024,0.160379
GCC_OMP_,512,0.284637
Linux_MPI_,1024,0.555216
MPI_GCC_OMP_,2048,0.699196
Linux_MPI_,128,0.624509
GCC_OMP_,256,0.381708
Linux_Serial_,64,0.518687
Linux_MPI_,64,0.589928
Linux_Serial_,16,0.50602
Linux_Serial_,2048,0.349265
Linux_MPI_,2048,0.546578
GCC_OMP_,64,0.40839
MPI_GCC_OMP_,256,0.712496
Linux_MPI_,16,0.914924
